,TARIH,FONKODU,FONUNVAN,FIYAT,TEDPAYSAYISI,KISISAYISI,PORTFOYBUYUKLUK,BORSABULTENFIYAT
622,1688688000000,IMZ,İŞ PORTFÖY POYRAZ SERBEST (DÖVİZ) ÖZEL FON,29.420048,4147547.001,4.0,122021032.76,-
623,1688688000000,INH,GARANTİ PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM DEĞİŞKEN ÖZEL FON,4.230524,16249369.0,260.0,68743347.74,-
624,1688688000000,INR,İŞ PORTFÖY ONBİRİNCİ SERBEST (DÖVİZ) FON,26.282875,96928194.0,770.0,2547551563.5,-
625,1688688000000,INV,INVEO PORTFÖY İSTATİSTİKSEL ARBİTRAJ KAR PAYI ÖDEYEN SERBEST (TL) ÖZEL FON,11.68967,42614927.0,1.0,498154440.2,-
626,1688688000000,INZ,INVEO PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,1.256355,2484486.0,2.0,3121396.41,-
627,1688688000000,IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,2.809316,269449225.0,1600.0,756968123.26,-
628,1688688000000,IOJ,İŞ PORTFÖY ONUNCU SERBEST (DÖVİZ) FON,26.517333,20750025.0,98.0,550235320.68,-
629,1688688000000,IOL,İŞ PORTFÖY OSK SERBEST (DÖVİZ) ÖZEL FON,27.741864,5286662.0,1.0,146661858.04,-
630,1688688000000,IOM,İSTANBUL PORTFÖY ONBEŞİNCİ SERBEST FON,0.0,0.0,0.0,0.0,-
631,1688688000000,ION,İSTANBUL PORTFÖY ONİKİNCİ SERBEST FON,1.104138,82813700.0,3.0,91437725.8,-
632,1688688000000,IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,1.250415,934197079.0,68.0,1168133680.7,-
633,1688688000000,IOP,İŞ PORTFÖY ODEABANK PARA PİYASASI (TL) FONU,1.700404,95217560.0,1567.0,161908278.04,-
634,1688688000000,IOV,İSTANBUL PORTFÖY PAPİRUS SERBEST (DÖVİZ) ÖZEL FON,25.544949,9907429.0,1.0,253084772.29,-
635,1688688000000,IPA,İŞ PORTFÖY SÜTAŞ İKİNCİ SERBEST ÖZEL FON,0.29288,427010564.0,14.0,125062749.64,-
